Frame,Class,BEV_X,BEV_Y
0,Driving,1024,925
0,Driving,902,836
0,Driving,886,458
0,Driving,429,702
0,Driving,535,930
0,Driving,194,799
0,Driving,168,1032
0,Driving,498,620
0,Driving,312,1023
0,Driving,418,493
0,Driving,593,416
0,Driving,106,382
0,Driving,411,1320
0,Driving,35,1041
0,Driving,390,875
0,Driving,769,151
0,Driving,706,8
0,Driving,1056,785
0,Driving,768,1131
0,Driving,551,541
0,Driving,476,1291
0,Driving,199,483
0,Driving,174,480
0,Driving,735,1150
0,Driving,188,12
0,Driving,458,1070
0,Driving,689,1091
0,Driving,667,207
0,Driving,375,936
0,Driving,411,870
0,Driving,415,31
0,Driving,477,813
0,Driving,567,96
0,Driving,929,506
0,Driving,692,567
0,Driving,442,1078
0,Driving,963,150
0,Driving,896,230
0,Driving,689,1091
0,Driving,199,483
0,Driving,414,1056
0,Driving,90,-105
0,Driving,582,1001
0,Driving,1056,786
0,Driving,765,159
0,Driving,411,1320
0,Driving,187,13
0,Driving,696,187
0,Walking,-48,783
0,Walking,580,790
0,Walking,622,1135
0,Walking,797,234
0,Walking,666,1169
0,Walking,-58,836
0,Walking,540,1202
0,Walking,565,805
0,Walking,-5,687
0,Walking,611,662
0,Walking,0,436
0,Walking,505,515
0,Walking,567,1240
0,Walking,33,444
0,Walking,981,632
0,Walking,619,282
0,Walking,599,669
0,Walking,219,464
0,Walking,656,361
0,Walking,589,734
0,Walking,606,896
0,Walking,-18,613
0,Walking,523,381
0,Walking,945,-45
0,Walking,485,390
0,Walking,541,566
0,Walking,10,674
0,Walking,566,1242
0,Walking,15,891
0,Walking,601,81
0,Walking,509,308
0,Walking,958,480
0,Walking,881,114
0,Walking,9,680
0,Walking,503,396
0,Walking,524,585
0,Walking,-14,717
0,Walking,-13,718
0,Walking,973,59
0,Walking,899,116
0,Walking,911,-30
0,Walking,571,96
0,Walking,644,190
0,Walking,90,152
0,Walking,5,132
0,Walking,890,8
0,Walking,660,1191
0,Walking,560,-65
0,Walking,-52,703
1,Driving,1027,924
1,Driving,904,835
1,Driving,429,702
1,Driving,535,932
1,Driving,886,458
1,Driving,167,1028
1,Driving,499,623
1,Driving,311,1019
1,Driving,193,791
1,Driving,594,419
1,Driving,417,493
1,Driving,107,375
1,Driving,769,154
1,Driving,35,1041
1,Driving,1058,786
1,Driving,411,1320
1,Driving,716,5
1,Driving,768,1131
1,Driving,393,878
1,Driving,158,450
1,Driving,553,547
1,Driving,735,1150
1,Driving,151,-152
1,Driving,475,1291
1,Driving,687,1093
1,Driving,667,207
1,Driving,478,813
1,Driving,413,29
1,Driving,567,96
1,Driving,412,868
1,Driving,377,934
1,Driving,198,479
1,Driving,457,1071
1,Driving,416,1056
1,Driving,928,506
1,Driving,693,562
1,Driving,687,1093
1,Driving,963,149
1,Driving,896,232
1,Driving,584,999
1,Driving,1057,787
1,Driving,411,1320
1,Driving,187,5
1,Driving,765,159
1,Driving,696,187
1,Walking,623,1138
1,Walking,-48,783
1,Walking,797,234
1,Walking,579,790
1,Walking,-58,836
1,Walking,564,804
1,Walking,0,436
1,Walking,611,666
1,Walking,666,1170
1,Walking,981,627
1,Walking,540,1203
1,Walking,-6,688
1,Walking,31,442
1,Walking,619,280
1,Walking,565,1237
1,Walking,595,671
1,Walking,657,368
1,Walking,504,513
1,Walking,637,1017
1,Walking,589,735
1,Walking,-18,613
1,Walking,219,464
1,Walking,540,566
1,Walking,523,383
1,Walking,945,-45
1,Walking,565,1243
1,Walking,509,308
1,Walking,484,393
1,Walking,601,84
1,Walking,502,396
1,Walking,881,113
1,Walking,10,679
1,Walking,551,554
1,Walking,-7,650
1,Walking,-11,719
1,Walking,-8,720
1,Walking,18,891
1,Walking,973,60
1,Walking,899,118
1,Walking,958,483
1,Walking,572,96
1,Walking,522,582
1,Walking,5,132
1,Walking,89,149
1,Walking,911,-27
1,Walking,602,670
1,Walking,642,188
1,Walking,660,1191
1,Walking,889,5
1,Walking,530,-23
1,Walking,560,-65
1,Walking,886,175
2,Driving,591,740
2,Driving,1030,924
2,Driving,907,837
2,Driving,535,933
2,Driving,886,458
2,Driving,166,1022
2,Driving,429,703
2,Driving,596,421
2,Driving,309,1015
2,Driving,499,625
2,Driving,192,783
2,Driving,418,495
2,Driving,769,154
2,Driving,106,367
2,Driving,35,1041
2,Driving,1118,625
2,Driving,412,1319
2,Driving,707,11
2,Driving,768,1131
2,Driving,152,-161
2,Driving,412,33
2,Driving,735,1150
2,Driving,458,1077
2,Driving,554,550
2,Driving,693,555
2,Driving,472,1293
2,Driving,667,207
2,Driving,481,811
2,Driving,379,935
2,Driving,694,557
2,Driving,567,93
2,Driving,197,474
2,Driving,416,1056
2,Driving,414,865
